x,y
1.000000000000000000e+00,6.971797900177001406e-02
2.000000000000000000e+00,1.037884286429367475e-01
3.000000000000000000e+00,9.922423987339831775e-02
4.000000000000000000e+00,1.189817724746370792e-01
5.000000000000000000e+00,1.233504328590286914e-01
6.000000000000000000e+00,1.371768187977944475e-01
7.000000000000000000e+00,1.534181966707390266e-01
8.000000000000000000e+00,1.694309362537553543e-01
9.000000000000000000e+00,1.731000584649350360e-01
1.000000000000000000e+01,1.743681683694450757e-01
1.100000000000000000e+01,1.667708013974071313e-01
1.200000000000000000e+01,1.700608735675011585e-01
1.300000000000000000e+01,1.860111760565403283e-01
1.400000000000000000e+01,1.873037811513951212e-01
1.500000000000000000e+01,2.000736813753769827e-01
1.600000000000000000e+01,2.183957040752843859e-01
1.700000000000000000e+01,2.239765225984731711e-01
1.800000000000000000e+01,2.318889497576718250e-01
1.900000000000000000e+01,2.327689515170022205e-01
2.000000000000000000e+01,2.352461754231389701e-01
2.100000000000000000e+01,2.355869977413066196e-01
2.200000000000000000e+01,2.403762722417586983e-01
2.300000000000000000e+01,2.578856198317730497e-01
2.400000000000000000e+01,2.618134036095157158e-01
2.500000000000000000e+01,2.617083795939206814e-01
2.600000000000000000e+01,2.580463639388077546e-01
2.700000000000000000e+01,2.469059204821857922e-01
2.800000000000000000e+01,2.465547099420221933e-01
2.900000000000000000e+01,2.494831007047756399e-01
3.000000000000000000e+01,2.579243084115026008e-01
3.100000000000000000e+01,2.660364411326073264e-01
3.200000000000000000e+01,2.660613565704335048e-01
3.300000000000000000e+01,2.546796328688408773e-01
3.400000000000000000e+01,2.607190983880787183e-01
3.500000000000000000e+01,2.527349547961382226e-01
3.600000000000000000e+01,2.513405536901336390e-01
3.700000000000000000e+01,2.459578485097576039e-01
3.800000000000000000e+01,2.607335344901434704e-01
3.900000000000000000e+01,2.676180055216365594e-01
4.000000000000000000e+01,2.648625747741864545e-01
4.100000000000000000e+01,2.727934696440348361e-01
4.200000000000000000e+01,2.658725103630963926e-01
4.300000000000000000e+01,2.618900797436558570e-01
4.400000000000000000e+01,2.622014102047127704e-01
4.500000000000000000e+01,2.607651163713426978e-01
4.600000000000000000e+01,2.622315358189450385e-01
4.700000000000000000e+01,2.693713563274405809e-01
4.800000000000000000e+01,2.738638475068940759e-01
4.900000000000000000e+01,2.654675293832668426e-01
5.000000000000000000e+01,2.671228118778909422e-01
5.100000000000000000e+01,2.733646909700672145e-01
5.200000000000000000e+01,2.805533460932854717e-01
5.300000000000000000e+01,2.871930276507234647e-01
5.400000000000000000e+01,2.744910545327134410e-01
5.500000000000000000e+01,2.748826663968259587e-01
5.600000000000000000e+01,2.697251406813818697e-01
5.700000000000000000e+01,2.756353210547251020e-01
5.800000000000000000e+01,2.748210982304453154e-01
5.900000000000000000e+01,2.780274233448883359e-01
6.000000000000000000e+01,2.807749351473223243e-01
6.100000000000000000e+01,2.844459422494112766e-01
6.200000000000000000e+01,2.834245202588930312e-01
6.300000000000000000e+01,2.861351638434458389e-01
6.400000000000000000e+01,2.860012548628537710e-01
6.500000000000000000e+01,2.848895682691376940e-01
6.600000000000000000e+01,2.830335927211602987e-01
6.700000000000000000e+01,2.815904005760667128e-01
6.800000000000000000e+01,2.853039276836891736e-01
6.900000000000000000e+01,2.889373579557191762e-01
7.000000000000000000e+01,2.903768932502862055e-01
7.100000000000000000e+01,2.955966022605045485e-01
7.200000000000000000e+01,2.957845308755936986e-01
7.300000000000000000e+01,2.967171329609961661e-01
7.400000000000000000e+01,3.044703345078409451e-01
7.500000000000000000e+01,3.179120397086011574e-01
7.600000000000000000e+01,3.119546451901096251e-01
7.700000000000000000e+01,3.196213211063737014e-01
7.800000000000000000e+01,3.201070265208752486e-01
7.900000000000000000e+01,3.258257297152986620e-01
8.000000000000000000e+01,3.246754926379615269e-01
8.100000000000000000e+01,3.253620868293204960e-01
8.200000000000000000e+01,3.260847683660769158e-01
8.300000000000000000e+01,3.258763572295735322e-01
8.400000000000000000e+01,3.272396135899940939e-01
8.500000000000000000e+01,3.338104743092524807e-01
8.600000000000000000e+01,3.372785983190620951e-01
8.700000000000000000e+01,3.393430343823015116e-01
8.800000000000000000e+01,3.372961443174903318e-01
8.900000000000000000e+01,3.450209491883331481e-01
9.000000000000000000e+01,3.433456907452253626e-01
9.100000000000000000e+01,3.446734922558559733e-01
9.200000000000000000e+01,3.470811239848308194e-01
9.300000000000000000e+01,3.531707542741772121e-01
9.400000000000000000e+01,3.508158635081095600e-01
9.500000000000000000e+01,3.438072484249209415e-01
9.600000000000000000e+01,3.412377406930325319e-01
9.700000000000000000e+01,3.410517200712773755e-01
9.800000000000000000e+01,3.477714942513495666e-01
9.900000000000000000e+01,3.497482184495270263e-01
1.000000000000000000e+02,3.475360611824548362e-01
