x,y
1.000000000000000000e+00,9.948421879987251470e-02
2.000000000000000000e+00,1.113375142840375975e-01
3.000000000000000000e+00,8.720755988572398421e-02
4.000000000000000000e+00,9.586134630147220836e-02
5.000000000000000000e+00,1.390926783343365558e-01
6.000000000000000000e+00,1.620577798329367880e-01
7.000000000000000000e+00,1.956479790428894139e-01
8.000000000000000000e+00,1.941774829783101675e-01
9.000000000000000000e+00,2.113531802924842884e-01
1.000000000000000000e+01,2.343340258860606984e-01
1.100000000000000000e+01,2.396485632326563475e-01
1.200000000000000000e+01,2.494302414983728122e-01
1.300000000000000000e+01,2.557550721022437967e-01
1.400000000000000000e+01,2.564056790012082532e-01
1.500000000000000000e+01,2.477930176368409454e-01
1.600000000000000000e+01,2.588279185365595647e-01
1.700000000000000000e+01,2.660751238133767238e-01
1.800000000000000000e+01,2.649519670614133293e-01
1.900000000000000000e+01,2.700058525060143877e-01
2.000000000000000000e+01,2.820959688343294136e-01
2.100000000000000000e+01,2.875916167092983367e-01
2.200000000000000000e+01,2.945446549477879206e-01
2.300000000000000000e+01,3.039303083929962845e-01
2.400000000000000000e+01,3.152514577848052335e-01
2.500000000000000000e+01,3.170523718574511096e-01
2.600000000000000000e+01,3.136093623426779997e-01
2.700000000000000000e+01,3.124360099549197134e-01
2.800000000000000000e+01,3.247505680125941097e-01
2.900000000000000000e+01,3.291508481987361900e-01
3.000000000000000000e+01,3.459088969382689838e-01
3.100000000000000000e+01,3.535362771345961774e-01
3.200000000000000000e+01,3.632017133671509024e-01
3.300000000000000000e+01,3.730865718465488645e-01
3.400000000000000000e+01,3.818643161929585195e-01
3.500000000000000000e+01,3.959641798403767954e-01
3.600000000000000000e+01,4.018175733807957672e-01
3.700000000000000000e+01,4.040992286059123528e-01
3.800000000000000000e+01,4.150008228639734953e-01
3.900000000000000000e+01,4.187443340395686775e-01
4.000000000000000000e+01,4.219545670033997276e-01
4.100000000000000000e+01,4.195781428682395786e-01
4.200000000000000000e+01,4.270012651250935098e-01
4.300000000000000000e+01,4.388710121269480124e-01
4.400000000000000000e+01,4.471598258616930610e-01
4.500000000000000000e+01,4.505082325338626847e-01
4.600000000000000000e+01,4.471440900450147637e-01
4.700000000000000000e+01,4.585147288334426863e-01
4.800000000000000000e+01,4.645408184706673604e-01
4.900000000000000000e+01,4.671085185596121625e-01
5.000000000000000000e+01,4.655576185097620723e-01
5.100000000000000000e+01,4.755371265314815021e-01
5.200000000000000000e+01,4.753056640628354756e-01
5.300000000000000000e+01,4.789988347875234198e-01
5.400000000000000000e+01,4.838344431113693611e-01
5.500000000000000000e+01,4.901356358527781953e-01
5.600000000000000000e+01,4.971945965440267567e-01
5.700000000000000000e+01,4.965791090234484839e-01
5.800000000000000000e+01,4.958683668652806298e-01
5.900000000000000000e+01,5.038301539845675414e-01
6.000000000000000000e+01,5.080762525320438039e-01
6.100000000000000000e+01,5.141580620419243797e-01
6.200000000000000000e+01,5.194457582960920750e-01
6.300000000000000000e+01,5.267666071257312010e-01
6.400000000000000000e+01,5.295013168017959071e-01
6.500000000000000000e+01,5.351886474417004713e-01
6.600000000000000000e+01,5.368442322608473205e-01
6.700000000000000000e+01,5.462970499650250389e-01
6.800000000000000000e+01,5.489064081858999744e-01
6.900000000000000000e+01,5.459519732980179230e-01
7.000000000000000000e+01,5.414515972393130205e-01
7.100000000000000000e+01,5.425609259588555222e-01
7.200000000000000000e+01,5.465172826544283380e-01
7.300000000000000000e+01,5.506853138866587560e-01
7.400000000000000000e+01,5.530555726644910131e-01
7.500000000000000000e+01,5.559810665132243201e-01
7.600000000000000000e+01,5.580718908971825654e-01
7.700000000000000000e+01,5.570910005747242710e-01
7.800000000000000000e+01,5.599984861578100048e-01
7.900000000000000000e+01,5.603643739344582597e-01
8.000000000000000000e+01,5.578695391468395659e-01
8.100000000000000000e+01,5.586621867082224302e-01
8.200000000000000000e+01,5.625038081773138243e-01
8.300000000000000000e+01,5.654804535938252608e-01
8.400000000000000000e+01,5.721391303261591510e-01
8.500000000000000000e+01,5.733868334732470373e-01
8.600000000000000000e+01,5.733851868783832462e-01
8.700000000000000000e+01,5.768093992711966767e-01
8.800000000000000000e+01,5.768038886857532743e-01
8.900000000000000000e+01,5.695079279946487771e-01
9.000000000000000000e+01,5.665976269274068944e-01
9.100000000000000000e+01,5.630514211903270283e-01
9.200000000000000000e+01,5.605315248845941234e-01
9.300000000000000000e+01,5.673253836031878494e-01
9.400000000000000000e+01,5.688053670440387233e-01
9.500000000000000000e+01,5.696447290603895430e-01
9.600000000000000000e+01,5.722580733080113724e-01
9.700000000000000000e+01,5.730844217217397896e-01
9.800000000000000000e+01,5.748956908570995727e-01
9.900000000000000000e+01,5.772058288387971192e-01
1.000000000000000000e+02,5.809373725463112814e-01
