x,y
1.000000000000000000e+00,1.533416425546946515e-01
2.000000000000000000e+00,1.500605846168240332e-01
3.000000000000000000e+00,2.002412580121162855e-01
4.000000000000000000e+00,2.281916787512108802e-01
5.000000000000000000e+00,2.515060604029029645e-01
6.000000000000000000e+00,2.981300232199444733e-01
7.000000000000000000e+00,3.244096088382717458e-01
8.000000000000000000e+00,3.369273190184225442e-01
9.000000000000000000e+00,3.480955946531726353e-01
1.000000000000000000e+01,3.625834752443320430e-01
1.100000000000000000e+01,3.803581243337126883e-01
1.200000000000000000e+01,3.794792687460603053e-01
1.300000000000000000e+01,4.005540691297451161e-01
1.400000000000000000e+01,4.189038436041714331e-01
1.500000000000000000e+01,4.421643957599833419e-01
1.600000000000000000e+01,4.638887740259877157e-01
1.700000000000000000e+01,4.701351075950896963e-01
1.800000000000000000e+01,4.835990736311026605e-01
1.900000000000000000e+01,4.878209008984470407e-01
2.000000000000000000e+01,4.856827690509430973e-01
2.100000000000000000e+01,5.089403516044066489e-01
2.200000000000000000e+01,5.276962361366153154e-01
2.300000000000000000e+01,5.388274347000774345e-01
2.400000000000000000e+01,5.507622043353503916e-01
2.500000000000000000e+01,5.607399489838149620e-01
2.600000000000000000e+01,5.688401444781816529e-01
2.700000000000000000e+01,5.814125644352547972e-01
2.800000000000000000e+01,5.861504551312265443e-01
2.900000000000000000e+01,5.860914748504201244e-01
3.000000000000000000e+01,5.918097317521922029e-01
3.100000000000000000e+01,5.966374603816890776e-01
3.200000000000000000e+01,6.032968521697281705e-01
3.300000000000000000e+01,6.078156768519668018e-01
3.400000000000000000e+01,6.160325612923642780e-01
3.500000000000000000e+01,6.187379867541826783e-01
3.600000000000000000e+01,6.294998654988592790e-01
3.700000000000000000e+01,6.347331204543279481e-01
3.800000000000000000e+01,6.430849078084843740e-01
3.900000000000000000e+01,6.562733654047243625e-01
4.000000000000000000e+01,6.625791568648540242e-01
4.100000000000000000e+01,6.709277883705370149e-01
4.200000000000000000e+01,6.720829447262879341e-01
4.300000000000000000e+01,6.803631890711172581e-01
4.400000000000000000e+01,6.891239823767674189e-01
4.500000000000000000e+01,6.940497626953868737e-01
4.600000000000000000e+01,7.045386183776364275e-01
4.700000000000000000e+01,7.102445683525305808e-01
4.800000000000000000e+01,7.174339901630368832e-01
4.900000000000000000e+01,7.229803337409379527e-01
5.000000000000000000e+01,7.310949162656600331e-01
5.100000000000000000e+01,7.355129810732787821e-01
5.200000000000000000e+01,7.391978819303279824e-01
5.300000000000000000e+01,7.433445959987219354e-01
5.400000000000000000e+01,7.491607499279338001e-01
5.500000000000000000e+01,7.508463798943156853e-01
5.600000000000000000e+01,7.588015996366056504e-01
5.700000000000000000e+01,7.584154313548447934e-01
5.800000000000000000e+01,7.606089872215169301e-01
5.900000000000000000e+01,7.664875098273487009e-01
6.000000000000000000e+01,7.686564676664436879e-01
6.100000000000000000e+01,7.704278388087099083e-01
6.200000000000000000e+01,7.703738510967510500e-01
6.300000000000000000e+01,7.746685193830484817e-01
6.400000000000000000e+01,7.776758808254990996e-01
6.500000000000000000e+01,7.822151109971862137e-01
6.600000000000000000e+01,7.853650711578479271e-01
6.700000000000000000e+01,7.851546364509132125e-01
6.800000000000000000e+01,7.897036323789812240e-01
6.900000000000000000e+01,7.908527291796080272e-01
7.000000000000000000e+01,7.907846031815788379e-01
7.100000000000000000e+01,7.914393184025151351e-01
7.200000000000000000e+01,7.934175214486621774e-01
7.300000000000000000e+01,7.951828482751797100e-01
7.400000000000000000e+01,7.968286410109606255e-01
7.500000000000000000e+01,7.985138863950298482e-01
7.600000000000000000e+01,8.043200168703423802e-01
7.700000000000000000e+01,8.076591196973805786e-01
7.800000000000000000e+01,8.102755970316632972e-01
7.900000000000000000e+01,8.088527643920907506e-01
8.000000000000000000e+01,8.092187720158178221e-01
8.100000000000000000e+01,8.108586835881874677e-01
8.200000000000000000e+01,8.156962947561703370e-01
8.300000000000000000e+01,8.212110124229093921e-01
8.400000000000000000e+01,8.209603397986646733e-01
8.500000000000000000e+01,8.224432686880964738e-01
8.600000000000000000e+01,8.226458213156180310e-01
8.700000000000000000e+01,8.222685033569854252e-01
8.800000000000000000e+01,8.231639820366039029e-01
8.900000000000000000e+01,8.235877001703511002e-01
9.000000000000000000e+01,8.254970504314741442e-01
9.100000000000000000e+01,8.248128933717782107e-01
9.200000000000000000e+01,8.265207148706745777e-01
9.300000000000000000e+01,8.277352690691027748e-01
9.400000000000000000e+01,8.298548737303236278e-01
9.500000000000000000e+01,8.307997951879393383e-01
9.600000000000000000e+01,8.354296563217451510e-01
9.700000000000000000e+01,8.375360412362413687e-01
9.800000000000000000e+01,8.394145423610579471e-01
9.900000000000000000e+01,8.406054219753035239e-01
1.000000000000000000e+02,8.422346548939918520e-01
